annee,diplome,situation,remarque,disca,part_femmes,age_moyen_a_la_soutenance,part_docteurs_etrangers,eff_rep,taux_rep,part_docteurs_declarant_avoir_ete_finances_pour_realiser_la_these,taux_insertion,part_stable,part_cadre,part_temps_plein,part_secteur_academique,part_public_hors_secteur_academique,part_r_d_privee,part_privee_hors_secteur_academique_et_r_d,part_docteurs_en_emploi_a_l_etranger,part_docteurs_en_emploi_dans_la_meme_region_que_leur_etablissement,sal_net_q1_mensuel,sal_net_med_mensuel,sal_net_q3_mensuel,sal_brut_med_annuel,lib_etablissement_2014,numero_uai_ori,lib_etablissement_2020,numero_uai_2020
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,75,37,44,40,22,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,PARIS 3,0751719L,PARIS 3,0751719L
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,70,30,30,25,18,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,PARIS 5,0751721N,PARIS 5,0751721N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,25,28,28,25,24,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,PARIS 7,0751723R,PARIS 7,0751723R
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,nd,nd,nd,2,12,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ENSTA PARIS (fermé),0751878J,ENSTA PARISTECH,0912318A
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,12,31,38,33,51,93,85,43,100,83,36,5,30,29,23,nd,2188,2468,2938,38000,ENSAM,0753237L,ENSAM,0753237L
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,49,nd,nd,47,50,59,80,52,87,82,43,42,0,15,41,nd,1615,1968,2386,27780,EPHE PARIS,0753486G,EPHE PARIS,0753486G
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,54,36,47,96,48,73,87,42,95,91,61,31,3,5,44,nd,1646,1983,2330,28000,EHESS PARIS,0753742K,EHESS PARIS,0753742K
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,33,28,25,14,58,82,87,46,92,100,49,12,12,26,15,nd,2160,2391,2489,33750,INSA ROUEN,0760165S,INSA ROUEN,0760165S
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,37,29,42,36,69,90,78,56,92,97,58,17,6,19,27,nd,1244,2057,2263,29040,ROUEN,0761904G,ROUEN,0761904G
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,49,30,24,17,49,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ROUEN,0761904G,ROUEN,0761904G
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,43,32,57,5,71,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,LE HAVRE,0762762P,LE HAVRE,0762762P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,34,30,57,10,19,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,VERSAILLES ST-QUENT.,0781944P,VERSAILLES ST-QUENT.,0781944P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,3,10,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,VERSAILLES ST-QUENT.,0781944P,VERSAILLES ST-QUENT.,0781944P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,38,31,55,6,29,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,EVRY,0911975C,EVRY,0911975C
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,37,31,63,17,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,PARIS 13,0931238R,PARIS 13,0931238R
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ESSEC-CERGY,0951214D,ESSEC-CERGY,0951214D
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,52,36,39,17,51,53,88,74,84,100,27,43,0,29,27,nd,1346,1970,1970,31521,CERGY-PONTOISE (fermé),0951793H,CY CERGY PARIS UNIVERSITE,0952259P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,58,36,42,27,46,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,NICE (fermé),0060931E,UNIVERSITE COTE AZUR,0062205P
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,75,40,31,9,56,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,BREST,0290346U,BREST,0290346U
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,33,30,67,6,66,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,TOULOUSE 1,0311382J,TOULOUSE 1,0311382J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,35,30,29,20,36,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,I.S.A.E.,0312760G,I.S.A.E.,0312760G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,46,29,33,9,69,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,MONTPELLIER 1 (fermé),0341087X,U MONTPELLIER,0342321N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,53,30,44,61,61,95,82,54,98,96,74,9,8,8,53,24,2079,2263,2479,34200,MONTPELLIER 2 (fermé),0341088Y,U MONTPELLIER,0342321N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,27,29,59,25,61,83,97,59,100,94,56,15,24,6,75,9,2625,2675,3185,42000,INSA RENNES,0350097R,INSA RENNES,0350097R
2014,DOCTORAT,36 mois après le diplôme,,Sciences humaines et humanités,45,36,21,41,73,34,93,60,75,88,40,48,0,12,30,29,1563,1970,2267,27816,RENNES 2,0350937D,RENNES 2,0350937D
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,25,30,58,22,55,82,78,72,88,95,46,0,38,16,41,24,2213,2625,3400,39000,SAINT-ETIENNE,0421095M,SAINT-ETIENNE,0421095M
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,62,37,31,10,77,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,SAINT-ETIENNE,0421095M,SAINT-ETIENNE,0421095M
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,54,36,39,20,49,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,63,29,26,15,79,92,78,63,90,100,31,16,24,29,12,25,2006,2261,2506,31944,ORLEANS,0450855K,ORLEANS,0450855K
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,31,31,34,21,66,91,100,85,96,100,49,4,29,17,29,0,2158,2366,2774,35000,VALENCIENNES (fermé),0593279U,UNIVERSITE POLYTECHNIQUE HAUTS,0597132G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,1,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,VALENCIENNES (fermé),0593279U,UNIVERSITE POLYTECHNIQUE HAUTS,0597132G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,62,29,23,9,69,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LILLE 1 (fermé),0593559Y,UNIVERSITE DE LILLE,0597065J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,nd,nd,nd,2,100,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LITTORAL,0595964M,LITTORAL,0595964M
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,25,30,54,53,67,90,94,71,98,98,49,17,22,12,49,26,2057,2438,2594,39000,CLERMONT AUVERGNE,0632035V,CLERMONT AUVERGNE,0632035V
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,50,29,35,21,81,95,77,58,93,95,51,12,25,12,56,29,1530,1991,2344,28111,PERPIGNAN,0660437S,PERPIGNAN,0660437S
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,30,29,51,70,51,80,98,72,91,100,35,9,33,23,37,33,2063,2479,2813,35000,INSA LYON,0690192J,INSA LYON,0690192J
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,52,30,20,102,59,76,92,49,96,95,61,17,11,12,36,45,2125,2267,2833,32848,LYON 1,0691774D,LYON 1,0691774D
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,78,31,0,6,66,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LYON 2,0691775E,LYON 2,0691775E
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,32,36,41,16,47,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LYON 3,0692437Z,LYON 3,0692437Z
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences du vivant,62,28,24,10,48,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ENS LYON,0694123G,ENS LYON,0694123G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,75,37,44,40,22,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,PARIS 3,0751719L,PARIS 3,0751719L
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,63,36,37,83,32,58,94,66,87,86,39,48,4,9,30,48,1867,2191,2593,32880,PARIS 4 (fermé),0751720M,SORBONNE UNIVERSITE,0755890V
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,66,39,48,12,11,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,PARIS 7,0751723R,PARIS 7,0751723R
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,69,36,49,7,20,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,PARIS 7,0751723R,PARIS 7,0751723R
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,55,40,43,9,19,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,CNAM PARIS,0753471R,CNAM PARIS,0753471R
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,37,29,42,36,69,90,86,70,93,100,49,15,19,17,32,29,2095,2263,2625,34122,ROUEN,0761904G,ROUEN,0761904G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,68,37,34,25,61,55,91,73,92,86,49,37,0,14,18,43,1995,2281,2366,32208,ROUEN,0761904G,ROUEN,0761904G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,56,37,36,8,89,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ROUEN,0761904G,ROUEN,0761904G
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,54,39,68,10,36,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,COMUE PARIS EST,0772710C,COMUE PARIS EST,0772710C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,55,36,41,19,65,22,82,75,80,86,55,31,6,8,34,30,1250,1659,1970,23424,AMIENS,0801344B,AMIENS,0801344B
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,40,31,46,19,54,66,90,69,84,91,56,16,16,12,33,17,1556,1850,2201,28546,AVIGNON,0840685N,AVIGNON,0840685N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,44,38,36,11,44,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,POITIERS,0860856N,POITIERS,0860856N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,63,34,54,18,51,58,100,87,100,100,64,19,0,17,21,15,1648,2057,3086,29040,POITIERS,0860856N,POITIERS,0860856N
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,42,30,71,10,42,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,EVRY,0911975C,EVRY,0911975C
2014,DOCTORAT,36 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,42,30,50,21,58,74,96,62,96,100,46,17,17,19,18,41,2250,2375,2479,35000,CERGY-PONTOISE (fermé),0951793H,CY CERGY PARIS UNIVERSITE,0952259P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,33,32,29,27,82,61,83,56,100,100,48,29,10,13,16,nd,1644,1995,3750,29040,BESANCON,0251215K,BESANCON,0251215K
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,50,44,30,6,60,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,BREST,0290346U,BREST,0290346U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,30,29,49,26,70,89,91,70,94,95,50,6,21,23,15,nd,2063,2095,2375,33516,INSA TOULOUSE,0310152X,INSA TOULOUSE,0310152X
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,43,29,29,11,78,100,78,22,100,100,60,18,0,22,40,nd,1800,1954,2006,27588,INSA TOULOUSE,0310152X,INSA TOULOUSE,0310152X
2014,DOCTORAT,12 mois après le diplôme,,Sciences humaines et humanités,57,36,31,61,55,37,78,62,90,86,46,36,0,18,25,nd,1543,1842,2385,28000,TOULOUSE 2,0311383K,TOULOUSE 2,0311383K
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,47,30,29,57,65,84,69,35,88,91,61,12,9,18,33,nd,1710,1897,2139,30202,BORDEAUX,0333298F,BORDEAUX,0333298F
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,45,35,40,21,50,65,85,30,95,84,68,25,0,8,21,nd,1543,1646,2050,23232,MONTPELLIER 3,0341089Z,MONTPELLIER 3,0341089Z
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,nd,nd,nd,3,60,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ENS CHIM. RENNES,0350077U,ENS CHIM. RENNES,0350077U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,27,29,59,25,61,83,97,52,91,94,60,15,16,9,56,nd,2125,2263,2406,31944,INSA RENNES,0350097R,INSA RENNES,0350097R
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,30,30,45,21,64,94,90,54,100,89,46,9,29,16,18,nd,1813,2250,2500,36000,TOURS,0370800U,TOURS,0370800U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,51,30,26,24,69,85,86,28,100,100,43,23,15,18,31,nd,1776,2188,4628,35000,TOURS,0370800U,TOURS,0370800U
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,38,29,28,21,47,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ENSM ST-ETIENNE,0420094Z,ENSM ST-ETIENNE,0420094Z
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,63,30,38,6,75,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,SAINT-ETIENNE,0421095M,SAINT-ETIENNE,0421095M
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,61,30,17,45,62,92,66,34,82,89,56,22,3,19,33,nd,2057,2468,2975,34848,NANTES,0440984F,NANTES,0440984F
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences et leurs interactions,67,30,50,5,83,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ONIRIS NANTES ATLANTIQUE,0442674T,ONIRIS NANTES ATLANTIQUE,0442674T
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences de la société,35,34,65,19,73,86,94,81,76,93,58,18,0,25,32,nd,1558,2057,2625,29040,ORLEANS,0450855K,ORLEANS,0450855K
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,29,28,53,13,76,100,81,41,100,100,49,21,0,31,53,nd,1452,1771,2253,25000,ANGERS,0490970N,ANGERS,0490970N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences du vivant,63,30,27,26,86,80,74,48,85,89,53,18,10,19,31,nd,1413,2188,2550,35000,ANGERS,0490970N,ANGERS,0490970N
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences humaines et humanités,63,37,44,41,63,40,85,50,66,86,39,39,3,20,21,nd,1244,1577,2057,23424,LORRAINE,0542493S,LORRAINE,0542493S
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,31,31,34,21,66,91,96,60,100,100,55,5,26,14,28,nd,1701,1995,2500,30681,VALENCIENNES (fermé),0593279U,UNIVERSITE POLYTECHNIQUE HAUTS,0597132G
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences humaines et humanités,nd,nd,nd,1,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,VALENCIENNES (fermé),0593279U,UNIVERSITE POLYTECHNIQUE HAUTS,0597132G
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,11,30,33,14,78,72,100,63,100,100,42,17,11,31,33,nd,1736,2057,2057,29040,ARTOIS,0623957P,ARTOIS,0623957P
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique,Sciences de la société,17,37,67,5,83,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,nd,ns,ns,ns,ns,ARTOIS,0623957P,ARTOIS,0623957P
2014,DOCTORAT,12 mois après le diplôme,,Sciences et leurs interactions,39,29,53,53,90,94,84,48,88,97,55,16,9,19,32,nd,1938,2160,2263,30492,PAU,0640251A,PAU,0640251A
2014,DOCTORAT,12 mois après le diplôme,Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables,Sciences et leurs interactions,12,31,57,20,57,94,88,51,100,91,54,22,20,4,50,nd,1851,1851,2263,26136,MULHOUSE,0681166Y,MULHOUSE,0681166Y
